fips,Prevalence
1001,0
1003, 
1005,0
1007, 
1009, 
1011, 
1013, 
1015, 
1017, 
1019,0
1021,0
1023,0
1025,0
1027,0
1029,0
1031, 
1033, 
1035, 
1037,0
1039, 
1041, 
1043, 
1045, 
1047, 
1049, 
1051, 
1053, 
1055, 
1057, 
1059,0
1061, 
1063,0
1065,0
1067,0
1069, 
1071,0
1073,0
1075,0
1077, 
1079, 
1081, 
1083, 
1085,0
1087, 
1089,0
1091,0
1093,0
1095, 
1097,0
1099, 
1101, 
1103,0.1
1105,0
1107,0
1109, 
1111,0
1113,0
1117, 
1115, 
1119,0
1121,0
1123, 
1125, 
1999, 
1127, 
1129,0
1131, 
1133, 
  ,0.1
2013,0
2016,0
2020,0.1
2050,0
2060,0
2068,0
2070,0
2090, 
2100,0
2105, 
2110, 
2122,0
2130,0
2150,0
2158,0
2164,0
2170, 
2180,0
2185,0
2188,0
2195,0
2198,0
2201,0
2220, 
2230, 
2232,0
2240,0
2999, 
2261,0
2270,0
2275,0
2280, 
2282,0
2290,0
  ,0
4001,0
4003, 
4005,0.2
4007, 
4009, 
4011,0
4012,0
4013,0
4015, 
4017, 
4019,0
4021, 
4023,0
4999, 
4025,0
4027, 
  ,0
5001, 
5003,0
5005, 
5007, 
5009, 
5011,0
5013,0
5015, 
5017, 
5019,0
5021,0
5023, 
5025, 
5027, 
5029, 
5031, 
5033, 
5035, 
5037,0
5039,0
5041,0
5043,0
5045, 
5047,0
5049, 
5051, 
5053,0
5055, 
5057, 
5059, 
5061,0
5063,0
5065, 
5067, 
5069, 
5071, 
5073,0
5075,0
5077, 
5079,0
5081,0
5083,0
5085, 
5087,0
5089,0
5091, 
5093,0
5095,0
5097, 
5099,0
5101, 
5103,0
5105,0
5107, 
5109, 
5111,0
5113, 
5115, 
5117,0
5119,0.1
5121,0
5125, 
5127, 
5129, 
5131, 
5133, 
5135, 
5123, 
5137,0
5139, 
5999, 
5141, 
5143,0.1
5145, 
5147,0
5149, 
  ,0.1
6001,0.1
6003,0
6005,0
6007, 
6009, 
6011,0
6013,0.1
6015,0
6017, 
6019,0
6021,0
6023,0.1
6025, 
6027,0
6029,0
6031, 
6033, 
6035,0
6037,0.1
6039, 
6041,0.1
6043, 
6045,0.1
6047, 
6049,0
6051,0
6053, 
6055,0.2
6057, 
6059,0.1
6061,0
6063, 
6065,0.1
6067,0.1
6069,0
6071,0.1
6073,0.1
6075,0.1
6077,0
6079,0
6081, 
6083,0.1
6085,0.1
6087, 
6089,0.1
6091,0
6093, 
6095,0.1
6097,0.1
6099, 
6101, 
6103, 
6105, 
6107, 
6109, 
6999, 
6111,0
6113, 
6115, 
  ,0.1
8001,0.1
8003, 
8005,0.1
8007,0
8009,0
8011,0
8013,0.1
8014,0
8015, 
8017,0
8019,0
8021,0
8023, 
8025,0
8027,0
8029,0
8031,0.1
8033,0
8035, 
8037,0
8041,0
8039,0
8043, 
8045, 
8047,0
8049,0
8051,0
8053,0
8055,0
8057,0
8059,0
8061, 
8063, 
8067, 
8065,0
8069,0
8071, 
8073,0
8075, 
8077, 
8079,0
8081,0
8083, 
8085,0
8087,0
8089, 
8091,0
