file,Year,State,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
2007-12-31.csv,2007,Alabama,1,All,All,All,Autism Spectrum Disorders,3.00E-04,8416.6812,7740.3672,0.2361,911.7647
2007-12-31.csv,2007,Alabama,1,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,All,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,Alabama,1,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,9.00E-04,,,,
2007-12-31.csv,2007,Alabama,1,65+,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,<65,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,All,Sex,Female,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,Alabama,1,65+,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,<65,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alabama,1,All,Sex,Male,Autism Spectrum Disorders,5.00E-04,,,,
2007-12-31.csv,2007,Alaska,2,All,All,All,Autism Spectrum Disorders,8.00E-04,6226.6349,7395.0522,,1170.7317
2007-12-31.csv,2007,Alaska,2,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,All,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,65+,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,<65,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,All,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,65+,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,<65,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Alaska,2,All,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,All,All,All,Autism Spectrum Disorders,3.00E-04,7005.6446,7999.186,,1062.069
2007-12-31.csv,2007,Arizona,4,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,All,Dual Status,Medicare Only,Autism Spectrum Disorders,0,,,,
2007-12-31.csv,2007,Arizona,4,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0023,,,,
2007-12-31.csv,2007,Arizona,4,65+,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,<65,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,All,Sex,Female,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,Arizona,4,65+,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,<65,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arizona,4,All,Sex,Male,Autism Spectrum Disorders,5.00E-04,,,,
2007-12-31.csv,2007,Arkansas,5,All,All,All,Autism Spectrum Disorders,4.00E-04,8801.35,8251.8388,,645.3488
2007-12-31.csv,2007,Arkansas,5,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,All,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,Arkansas,5,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0015,,,,
2007-12-31.csv,2007,Arkansas,5,65+,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,<65,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,All,Sex,Female,Autism Spectrum Disorders,2.00E-04,,,,
2007-12-31.csv,2007,Arkansas,5,65+,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,<65,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Arkansas,5,All,Sex,Male,Autism Spectrum Disorders,6.00E-04,,,,
2007-12-31.csv,2007,California,6,All,All,All,Autism Spectrum Disorders,6.00E-04,8159.1222,9879.5037,0.2129,911.8199
2007-12-31.csv,2007,California,6,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,0,,,,
2007-12-31.csv,2007,California,6,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,5.00E-04,,,,
2007-12-31.csv,2007,California,6,All,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,California,6,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,California,6,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0047,,,,
2007-12-31.csv,2007,California,6,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0018,,,,
2007-12-31.csv,2007,California,6,65+,Sex,Female,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,California,6,<65,Sex,Female,Autism Spectrum Disorders,0.0018,,,,
2007-12-31.csv,2007,California,6,All,Sex,Female,Autism Spectrum Disorders,3.00E-04,,,,
2007-12-31.csv,2007,California,6,65+,Sex,Male,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,California,6,<65,Sex,Male,Autism Spectrum Disorders,0.0044,,,,
2007-12-31.csv,2007,California,6,All,Sex,Male,Autism Spectrum Disorders,0.001,,,,
2007-12-31.csv,2007,Colorado,8,All,All,All,Autism Spectrum Disorders,5.00E-04,6343.0261,6613.3219,,888.2979
2007-12-31.csv,2007,Colorado,8,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,All,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,Colorado,8,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0029,,,,
2007-12-31.csv,2007,Colorado,8,65+,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,<65,Sex,Female,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,All,Sex,Female,Autism Spectrum Disorders,3.00E-04,,,,
2007-12-31.csv,2007,Colorado,8,65+,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,<65,Sex,Male,Autism Spectrum Disorders,,,,,
2007-12-31.csv,2007,Colorado,8,All,Sex,Male,Autism Spectrum Disorders,8.00E-04,,,,
2007-12-31.csv,2007,Connecticut,9,All,All,All,Autism Spectrum Disorders,0.0013,5341.8889,6423.5695,0.177,1060.0343
2007-12-31.csv,2007,Connecticut,9,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,0,,,,
2007-12-31.csv,2007,Connecticut,9,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0018,,,,
2007-12-31.csv,2007,Connecticut,9,All,Dual Status,Medicare Only,Autism Spectrum Disorders,2.00E-04,,,,
2007-12-31.csv,2007,Connecticut,9,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,5.00E-04,,,,
2007-12-31.csv,2007,Connecticut,9,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0148,,,,
2007-12-31.csv,2007,Connecticut,9,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0062,,,,
2007-12-31.csv,2007,Connecticut,9,65+,Sex,Female,Autism Spectrum Disorders,1.00E-04,,,,
2007-12-31.csv,2007,Connecticut,9,<65,Sex,Female,Autism Spectrum Disorders,0.0049,,,,
