Area_of_Residence,Total_Enrollment,Year
United States,32683237,2013
Alabama,647647,2013
Alaska,66477,2013
Arizona,566552,2013
Arkansas,428836,2013
California,2732619,2013
Colorado,397756,2013
Connecticut,403614,2013
Delaware,142956,2013
District of Columbia,59062,2013
Florida,2175231,2013
Georgia,926467,2013
Hawaii,97438,2013
Idaho,163218,2013
Illinois,1571306,2013
Indiana,785853,2013
Iowa,436303,2013
Kansas,370767,2013
Kentucky,578339,2013
Louisiana,496643,2013
Maine,216488,2013
Maryland,689046,2013
Massachusetts,824625,2013
Michigan,1209655,2013
Minnesota,372810,2013
Mississippi,437682,2013
Missouri,735610,2013
Montana,144909,2013
Nebraska,238682,2013
Nevada,239214,2013
New Hampshire,205924,2013
New Jersey,1049338,2013
New Mexico,211534,2013
New York,1801139,2013
North Carolina,1227668,2013
North Dakota,89267,2013
Ohio,1142060,2013
Oklahoma,494116,2013
Oregon,348348,2013
Pennsylvania,1280928,2013
Rhode Island,103364,2013
South Carolina,642488,2013
South Dakota,114867,2013
Tennessee,741945,2013
Texas,2187508,2013
Utah,182202,2013
Vermont,104534,2013
Virginia,953558,2013
Washington,687248,2013
West Virginia,284710,2013
Wisconsin,595906,2013
Wyoming,78779,2013
United States,32730481,2014
Alabama,654450,2014
Alaska,69267,2014
Arizona,588791,2014
Arkansas,432991,2014
California,2748550,2014
Colorado,409314,2014
Connecticut,406105,2014
Delaware,147575,2014
District of Columbia,59512,2014
Florida,2184788,2014
Georgia,928955,2014
Hawaii,99182,2014
Idaho,166961,2014
Illinois,1480900,2014
Indiana,795029,2014
Iowa,443780,2014
Kansas,376922,2014
Kentucky,579515,2014
Louisiana,495534,2014
Maine,215505,2014
Maryland,710354,2014
Massachusetts,827837,2014
Michigan,1184061,2014
Minnesota,364645,2014
Mississippi,443418,2014
Missouri,734955,2014
Montana,146638,2014
Nebraska,244828,2014
Nevada,247756,2014
New Hampshire,211052,2014
New Jersey,1083154,2014
New Mexico,213716,2014
New York,1779636,2014
North Carolina,1133022,2014
North Dakota,89683,2014
Ohio,1145061,2014
Oklahoma,502303,2014
Oregon,355312,2014
Pennsylvania,1298480,2014
Rhode Island,105163,2014
South Carolina,650216,2014
South Dakota,115360,2014
Tennessee,737675,2014
Texas,2196106,2014
Utah,188927,2014
Vermont,107970,2014
Virginia,966073,2014
Washington,705379,2014
West Virginia,280883,2014
Wisconsin,595667,2014
Wyoming,81526,2014
United States,32829277,2015
Alabama,656171,2015
Alaska,72424,2015
Arizona,607184,2015
Arkansas,435718,2015
California,2757683,2015
Colorado,421326,2015
Connecticut,404204,2015
Delaware,152169,2015
District of Columbia,59595,2015
Florida,2184586,2015
Georgia,923397,2015
Hawaii,102756,2015
Idaho,171101,2015
Illinois,1435156,2015
Indiana,799769,2015
Iowa,449212,2015
Kansas,383392,2015
Kentucky,577785,2015
Louisiana,494084,2015
Maine,213237,2015
Maryland,731679,2015
Massachusetts,839092,2015
Michigan,1161753,2015
Minnesota,356846,2015
Mississippi,445681,2015
Missouri,729714,2015
Montana,149237,2015
Nebraska,250520,2015
Nevada,255838,2015
New Hampshire,216716,2015
New Jersey,1104477,2015
New Mexico,218077,2015
New York,1774347,2015
North Carolina,1143154,2015
North Dakota,89051,2015
Ohio,1114291,2015
Oklahoma,509036,2015
Oregon,363934,2015
Pennsylvania,1315111,2015
Rhode Island,107948,2015
South Carolina,664153,2015
South Dakota,114979,2015
Tennessee,730006,2015
Texas,2181201,2015
Utah,194568,2015
Vermont,110539,2015
Virginia,975559,2015
Washington,728553,2015
West Virginia,282716,2015
Wisconsin,585450,2015
Wyoming,84104,2015
United States,33251934,2016
Alabama,656698,2016
Alaska,75988,2016
Arizona,630071,2016
Arkansas,438462,2016
California,2793531,2016
Colorado,437655,2016
Connecticut,405872,2016
Delaware,155282,2016
District of Columbia,59985,2016
Florida,2213137,2016
Georgia,923610,2016
Hawaii,105652,2016
Idaho,179588,2016
Illinois,1445339,2016
Indiana,805318,2016
Iowa,443684,2016
Kansas,386779,2016
Kentucky,576293,2016
Louisiana,496890,2016
Maine,211581,2016
Maryland,741116,2016
Massachusetts,854665,2016
Michigan,1154866,2016
Minnesota,349640,2016
Mississippi,447077,2016
Missouri,725741,2016
Montana,151187,2016
Nebraska,255472,2016
Nevada,262066,2016
New Hampshire,220694,2016
New Jersey,1105091,2016
New Mexico,223283,2016
New York,1790894,2016
North Carolina,1155059,2016
North Dakota,87722,2016
Ohio,1214236,2016
Oklahoma,515814,2016
Oregon,374294,2016
Pennsylvania,1337280,2016
Rhode Island,108302,2016
South Carolina,675705,2016
South Dakota,114186,2016
Tennessee,731270,2016
Texas,2190958,2016
Utah,199117,2016
Vermont,113294,2016
Virginia,996692,2016
Washington,753553,2016
West Virginia,283557,2016
Wisconsin,590629,2016
Wyoming,87060,2016
United States,33103075,2017
Alabama,568207,2017
Alaska,78805,2017
Arizona,650109,2017
Arkansas,436607,2017
California,2825802,2017
Colorado,448313,2017
Connecticut,402823,2017
Delaware,156719,2017
District of Columbia,60015,2017
Florida,2199974,2017
Georgia,919605,2017
Hawaii,108107,2017
Idaho,188702,2017
Illinois,1425135,2017
Indiana,797976,2017
Iowa,449072,2017
Kansas,388508,2017
Kentucky,571571,2017
Louisiana,491732,2017
Maine,205995,2017
Maryland,743622,2017
Massachusetts,853597,2017
Michigan,1139439,2017
Minnesota,340102,2017
Mississippi,446980,2017
Missouri,713966,2017
Montana,154254,2017
Nebraska,258728,2017
Nevada,266673,2017
New Hampshire,220698,2017
New Jersey,1042780,2017
New Mexico,224594,2017
New York,1770649,2017
North Carolina,1160278,2017
North Dakota,91273,2017
Ohio,1205680,2017
Oklahoma,518215,2017
Oregon,382362,2017
Pennsylvania,1333311,2017
Rhode Island,95821,2017
South Carolina,680336,2017
South Dakota,117635,2017
Tennessee,730852,2017
Texas,2184565,2017
Utah,202482,2017
Vermont,114318,2017
Virginia,1006445,2017
Washington,769333,2017
West Virginia,276116,2017
Wisconsin,594447,2017
Wyoming,89753,2017
United States,32917866,2018
Alabama,549309,2018
Alaska,82558,2018
Arizona,667159,2018
Arkansas,430945,2018
California,2843447,2018
Colorado,462636,2018
Connecticut,353340,2018
Delaware,158009,2018
District of Columbia,59579,2018
Florida,2178586,2018
Georgia,908825,2018
Hawaii,109402,2018
Idaho,193789,2018
Illinois,1423339,2018
Indiana,781320,2018
Iowa,448324,2018
Kansas,391415,2018
Kentucky,563376,2018
Louisiana,485030,2018
Maine,200351,2018
Maryland,753093,2018
Massachusetts,858688,2018
Michigan,1088152,2018
Minnesota,341971,2018
Mississippi,444256,2018
Missouri,703146,2018
Montana,164146,2018
